Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dmlmd,diabetes_survey,,radio,Which of the following options best describes you with respect to physician care and medications?,"10, 3 or more visits a year to the same doctor. Regular with medicines. | 5, 1-2 visits a year. Forgetting medicines frequently. | 0, Rarely or none. Not taking 1 or more recommended medicines | 777, Prefer not to say",,,,,,[dml_nd(999)] = '0',y,LV,,,,
survey_timestamp_hdr_6,diabetes_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-secondary mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><i class=""fas fa-clock"">ÿ</i> <strong>REDCap Survey Timestamps</strong></h6> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
dmlstartts,diabetes_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Diabetes Survey Started Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-started:diabetes_survey]<> '', [survey-time-started:diabetes_survey],''))"
dmlcmpts,diabetes_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Diabetes Survey Completed Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-completed:sdsca_dm_survey]<> '', [survey-time-completed:sdsca_dm_survey],''))"
dietcmpdat,dietary_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Dietary survey date</span></p></div>",,,date_mdy,,,,,,LV,,,, @TODAY @HIDDEN-SURVEY
crcid_diet,dietary_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Interviewer code</span></p></div>",,,,,,,[survey-time-completed:dietary_survey] = '',,LV,,,, @HIDDEN-SURVEY
diet_nd,dietary_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-comment-slash"">ÿ</i> No participant response</span></p></div>","999, Diet survey not done",,,,,,[survey-time-completed:dietary_survey] = '',,LV,,,, @HIDDEN-SURVEY
diet_hdr_1,dietary_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">Please select the option that represents the best answer for each question.</span></p> <h6 class=""mt-1""><strong>Over the last few months:</strong></h6> </div></div>",,,,,,,,,,,,,
diet1,dietary_survey,,radio,How many times a week did you eat fast food meals or snacks?,"0, Less than 1 time | 1, 1 - 3 times | 2, 4 or more times | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
diet2,dietary_survey,,radio,How many servings of fruit did you eat each day?,"0, 5 or more | 1, 3 - 4 | 2, 2 or less | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',,LV,,,,
diet3,dietary_survey,,radio,How many servings of vegetables did you eat each day?,"0, 5 or more | 1, 3 - 4 | 2, 2 or less | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
diet4,dietary_survey,,radio,How many regular sodas or glasses of sweet tea did you drink each day?,"0, Less than 1 | 1, 1 - 2 | 2, 3 or more | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
diet5,dietary_survey,,radio,"How many times a week did you eat beans (like pinto or black beans), chicken, or fish?","0, 3 or more times | 1, 1 - 2 times | 2, Less than 1 time | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
diet6,dietary_survey,,radio,How many times a week did you eat regular snack chips or crackers (not low-fat)?,"0, 1 time or less | 1, 2 - 3 times | 2, 4 or more times | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
diet7,dietary_survey,,radio,How many times a week did you eat desserts and other sweets (not the low-fat kind)?,"0, 1 time or less | 1, 2 - 3 times | 2, 4 or more times | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
diet8,dietary_survey,,radio,"How much margarine, butter, or meat fat do you use to season vegetables or put on potatoes, bread or corn?","0, Very little | 1, Some | 2, A lot | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
diet9,dietary_survey,,radio,How many servings of fruit juice did you drink each day?,"0, Less than 1 | 1, 1 - 2 | 2, 3 or more | 777, Prefer not to say",,,,,,[diet_nd(999)] = '0',y,LV,,,,
dietscore,dietary_survey,,calc,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Diet score</span></p></div>","sum([diet1],[diet2],[diet3],[diet4],[diet5],[diet6],[diet7],[diet8],[diet9]) - (if([susmkcdur]='1' OR [subrkncf]='1' OR [suwnkncf]='1' OR [sulqkncf]='1' OR [suvpkncf1]='1', 20, 0))",,,,,,,,LV,,,, @HIDDEN-SURVEY
survey_timestamp_hdr_5,dietary_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-secondary mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><i class=""fas fa-clock"">ÿ</i> <strong>REDCap Survey Timestamps</strong></h6> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
dietstartts,dietary_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Dietary Survey Start Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-started:dietary_survey]<> '', [survey-time-started:diatary_survey],''))"
dietcmpts,dietary_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Dietary Survey Completed Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-completed:dietary_survey]<> '', [survey-time-completed:dietary_survey],''))"
viacmpdat,ophthalmic_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Ophthalmic survey date</span></p></div>",,,date_mdy,,,,,,LV,,,, @TODAY @HIDDEN-SURVEY
via_crcid,ophthalmic_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Interviewer code</span></p></div>",,,,,,,[survey-time-completed:ophthalmic_survey] = '',,LV,,,, @HIDDEN-SURVEY
via_nd,ophthalmic_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-comment-slash"">ÿ</i> No participant response</span></p></div>","999, Recruitment survey not done",,,,,,[survey-time-completed:ophthalmic_survey] = '',,LV,,,, @HIDDEN-SURVEY
su_ssinstr_5,ophthalmic_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" role=""alert""> <h6 class=""mt-2""><i class=""fas fa-poll-h"">ÿ</i> <strong>SURVEY QUESTIONS <span style=""text-decoration: underline;"">START</span> HERE</strong></h6> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
via1,ophthalmic_survey,,radio,"<div class=""rich-text-field-label""><p>How much difficulty, if any, do you have in recognizing a friend across the street?</p> <p><span style=""font-weight: normal; color: #577e92;"">Would you say:</span></p></div>","1, No difficulty | 2, A little difficulty | 3, Moderate difficulty | 4, Extreme difficulty | 5, Unable to do because of eyesight | 777, Prefer not to say",,,,,,[via_nd(999)] = '0',y,LV,,,,
via2,ophthalmic_survey,,radio,"<div class=""rich-text-field-label""><p>How much difficulty, if any, do you have reading print in newspapers, magazines, recipes, menus, or numbers on the telephone?</p> <p><span style=""font-weight: normal; color: #577e92;"">Would you say:</span></p></div>","1, No difficulty | 2, A little difficulty | 3, Moderate difficulty | 4, Extreme difficulty | 5, Unable to do because of eyesight | 777, Prefer not to say",,,,,,[via_nd(999)] = '0',y,LV,,,,
via3,ophthalmic_survey,,radio,"<div class=""rich-text-field-label""><p>Because of your eyesight, how much difficulty do you have noticing objects off to the side while you are walking along?</p> <p><span style=""font-weight: normal; color: #577e92;"">Would you say:</span></p></div>","1, No difficulty | 2, A little difficulty | 3, Moderate difficulty | 4, Extreme difficulty | 5, Unable to do because of eyesight | 777, Prefer not to say",,,,,,[via_nd(999)] = '0',y,LV,,,,
via4,ophthalmic_survey,,radio,"<div class=""rich-text-field-label""><p>When was the last time you had your eyes examined by an eye care provider (<em>ophthalmologist or optometrist</em>)?ÿ</p></div>","1, Within the past month (anytime less than 1 month ago) | 2, Within the past year (1 month but less than 12 months ago) | 3, Within the past 2 years (1 year but less than 2 years ago) | 4, 2 or more years ago | 777, Prefer not to say",,,,,,[via_nd(999)] = '0',y,LV,,,,
via5,ophthalmic_survey,,radio,"<div class=""rich-text-field-label""><p>You have indicated that you have not seen an eye care professional in the past 12 months.</p> <p>What is the main reason you have not visited an eye care professional in the past 12 months?</p></div>","1, Cost/Insurance | 2, Do not have/know an eye doctor | 3, Cannot get to the office/clinic (too far away, no transportation) | 4, Could not get an appointment | 5, No reason to go (no problem) | 6, Have not thought of it | 7, Other | 777, Prefer not to say",,,,,,[via_nd(999)] = '0' and ([via4] = '3' or [via4] = '4'),y,LV,,,,
via6,ophthalmic_survey,,radio,"<div class=""rich-text-field-label""><p>When was the last time you had an eye exam in which the pupils were dilated? <br /><span style=""color: #577e92; font-weight: normal;"">(This would have made you temporarily sensitive to bright light)</span></p></div>","1, Within the past month (anytime less than 1 month ago) | 2, Within the past year (1 month but less than 12 months ago) | 3, Within the past 2 years (1 year but less than 2 years ago) | 4, 2 or more years ago | 5, Never | 777, Prefer not to say",,,,,,[via_nd(999)] = '0',y,LV,,,,
survey_timestamp_hdr_9,ophthalmic_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-secondary mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><i class=""fas fa-clock"">ÿ</i> <strong>REDCap Survey Timestamps</strong></h6> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
viastartts,ophthalmic_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Ophthalmic Survey Started Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-started:ophthalmic_survey]<> '', [survey-time-completed:ophthalmic_survey],''))"
viacmpts,ophthalmic_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Ophthalmic Survey Completed Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-completed:ophthalmic_survey]<> '', [survey-time-completed:ophthalmic_survey],''))"
pxsdohcmpdat,px_sdoh_combined_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> PhenX SDOH survey date</span></p></div>",,,date_mdy,,,,,,LV,,,, @TODAY @HIDDEN-SURVEY
pxsdoh_nd,px_sdoh_combined_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-comment-slash"">ÿ</i> No participant response</span></p></div>","999, Recruitment survey not done",,,,,,[survey-time-completed:px_sdoh_combined_survey] = '',,LV,,,, @HIDDEN-SURVEY
pxsdoh_crcid,px_sdoh_combined_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Interviewer code</span></p></div>",,,,,,,[survey-time-completed:px_sdoh_combined_survey] = '',,LV,,,, @HIDDEN-SURVEY
pxep1,px_sdoh_combined_survey,,radio,Is English your first language?,"1, Yes | 0, No | 777, Prefer not to say",,,,,,,y,LV,,,,PX270201
pxep2,px_sdoh_combined_survey,,radio,Do you speak another language at home?,"1, Yes | 0, No | 777, Prefer not to say",,,,,,[pxep1] = '0',y,LV,,,,PX270201
pxep3,px_sdoh_combined_survey,,radio,"Since you speak a language other than English at home, we are interested in your own opinion of how well you speak English. Would you say you speak English...?","1, Very well, | 2, Well, | 3, Not well | 0, Not at all | 777, Prefer not to say | 555, Don't know",,,,,,[pxep2] = '1',y,LV,,,,PX270201
pxedinstr,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">Please answer the following question about your </span>education<span style=""font-weight: normal;"">.</span></p> </div></div>",,,,,,,,,,,,,PX011002
pxed1,px_sdoh_combined_survey,,dropdown,What is the highest grade or level of school you have completed or the highest degree you have received? ,"0, NEVER ATTENDED/KINDERGARTEN ONLY | 1, 1ST Grade | 2, 2ND Grade | 3, 3RD Grade | 4, 4TH Grade | 5, 5TH Grade | 6, 6TH Grade | 7, 7TH Grade | 8, 8TH Grade | 9, 9TH Grade | 10, 10TH Grade | 11, 11TH Grade | 12, 12TH Grade, No diploma | 13, High School Graduate | 14, GED or Equivalent | 15, Some College, No degree | 16, Associate Degree: Occupational, Technical, or Vocational Program | 17, Associate Degree: Academic Program | 18, Bachelor's Degree (Example: BA, AB, BS, BBA) | 19, Master's Degree (Example: MA, MS, MEng, MEd, MBA) | 20, Professional School Degree (Example: MD, DDS, DVM, JD) | 21, Doctoral Degree (Example: PhD, EdD) | 777, Prefer not to say | 555, Don't Know",,,,,,,y,LV,,,,PX011002
pxjiinstr,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">The following two questions ask you about your </span>employment.<span style=""font-weight: normal;""> Please answer to the best of your ability by choosing from the options provided.</span></p> </div></div>",,,,,,,,,,,,,PX280301
pxji1,px_sdoh_combined_survey,,radio,"Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off?","1, Very likely | 2, Fairly likely | 3, Not too likely | 4, Not at all likely | 5, Will be leaving labor force voluntarily | 555, Don't know | 777, Prefer not to say | 0, Not applicable",,,,,,,y,LV,,,,PX280301
pxji2,px_sdoh_combined_survey,,radio,"About how easy would it be for you to find a job with another employer with approximately the same income and fringe benefits you now have? Would you say very easy, somewhat easy, or not easy at all?","1, Very easy | 2, Somewhat easy | 3, Not easy at all | 555, Don't know | 777, Prefer not to say | 0, Not applicable",,,,,,,y,LV,,,,PX280301
pxhiinstr,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">The next 2 questions ask you about your </span>housing situation<span style=""font-weight: normal;"">. Please choose the best answer from the options provided.</span></p> </div></div>",,,,,,,,,,,,,
pxhi1,px_sdoh_combined_survey,,radio,What is your living situation today?,"1, I have a steady place to live | 2, I have a place to live today, but I am worried about losing it in the future | 0, I do not have a steady place to live (I am temporarily staying with others, in a hotel, in a shelter, living outside on the street, on a beach, in a car, abandoned building, bus or train station, or in a park) | 777, Prefer not to say",,,,,,,y,LV,,,,PX281401
pxhi2,px_sdoh_combined_survey,,checkbox,Think about the place you live. Do you have problems with any of the following? CHOOSE ALL THAT APPLY ,"1, Pests such as bugs, ants, or mice | 2, Mold | 3, Lead paint or pipes | 4, Lack of heat | 5, Oven or stove not working | 6, Smoke detectors missing or not working | 7, Water leaks | 8, None of the above | 777, Prefer not to say",,,,,,,y,LV,,,," @NONEOFTHEABOVE='8,777' PX281401"
pxpainstr,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">The following 4 questions will ask about the affordability of the </span>medications<span style=""font-weight: normal;""> you use. Please choose from the available answer options.</span></p> </div></div>",,,,,,,,,,,,,PX280801
pxpa1,px_sdoh_combined_survey,,radio,"In the last 12 months, have you delayed getting prescription medicines because of worry about the cost?","1, Yes | 0, No | 777, Prefer not to say | 555, Don't know",,,,,,,y,LV,,,,PX280801
pxpa2,px_sdoh_combined_survey,,radio,Did any other person in your household delay getting prescription medicines because of worry about the cost? ,"1, Yes | 0, No | 777, Prefer not to say | 555, Don't know",,,,,,,y,LV,,,,PX280801
pxpa3,px_sdoh_combined_survey,,radio,"In the last 12 months, was there any time when you needed prescription medicines, but did not get them because you  couldn't afford it?","1, Yes | 0, No | 777, Prefer not to say | 555, Don't know",,,,,,,y,LV,,,,PX280801
pxpa4,px_sdoh_combined_survey,,radio,"In the last 12 months, was there any time when anyone else in your household needed prescription medicines, but did not get them because you/they couldn't afford it?","1, Yes | 0, No | 777, Prefer not to say | 555, Don't know",,,,,,,y,LV,,,,PX280801
pxhicinstr1,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">The next question asks about your </span>health insurance or health coverage plans<span style=""font-weight: normal;"">. In answering this question, please exclude plans that pay for only one type of service (such as nursing home care, accidents, family planning, or dental care) and plans that only provide extra cash when hospitalized.</span></p> <p class=""mt-3"">Are you currently covered by any of the following types of health insurance or health coverage plans?</p> </div></div>",,,,,,,,,,,,,
pxhic1,px_sdoh_combined_survey,,radio,Insurance through a current or former employer or union (of yours or another family member's). This would include COBRA coverage.,"1, Covered | 0, Not Covered | 999, Not Sure | 777, Prefer not to say",,,,,,,y,LV,,,,PX011502
pxhic2,px_sdoh_combined_survey,,radio,"Insurance purchased directly from an insurance company (by you or another family member). This would include coverage purchased through an exchange or marketplace, such as HealthCare.gov","1, Covered | 0, Not Covered | 999, Not Sure | 777, Prefer not to say",,,,,,,y,LV,,,,PX011502
pxhic3,px_sdoh_combined_survey,,radio,"Medicare, for people 65 and older, or people with certain disabilities.","1, Covered | 0, Not Covered | 999, Not Sure | 777, Prefer not to say",,,,,,,y,LV,,,,PX011502
pxhic4,px_sdoh_combined_survey,,radio,"Medicaid, Medical Assistance (MA), the Children's Health Insurance Program (CHIP), or any kind of state or government-sponsored assistance. plan based on income or a disability.","1, Covered | 0, Not Covered | 999, Not Sure | 777, Prefer not to say",,,,,,,y,LV,,,,PX011502
pxhic5,px_sdoh_combined_survey,,radio,"TRICARE or other military health care, including VA health care.","1, Covered | 0, Not Covered | 999, Not Sure | 777, Prefer not to say",,,,,,,y,LV,,,,PX011502
pxhic6,px_sdoh_combined_survey,,radio,Indian Health Service.,"1, Covered | 0, Not Covered | 999, Not Sure | 777, Prefer not to say",,,,,,,y,LV,,,,PX011502
pxhic7,px_sdoh_combined_survey,,radio,Any other type of health insurance coverage or health coverage plan,"1, Covered | 0, Not Covered | 999, Not Sure | 777, Prefer not to say",,,,,,,y,LV,,,,PX011502
pxhic8,px_sdoh_combined_survey,,radio,"<div class=""rich-text-field-label""><p>Does this mean you currently have no health insurance or health coverage plan? In answering this question, please exclude plans that pay for only one type of service <span style=""font-weight: normal;"">(such as, nursing home care, accidents, family planning, or dental care) and plans that only provide extra cash when hospitalized)</span>.</p></div>","0, I do NOT have health insurance | 1, I HAVE some kind of health insurance | 777, Prefer not to say",,,,,,[pxhic1] = '0' and [pxhic2] = '0' and [pxhic3] = '0' and [pxhic4] = '0' and [pxhic5] = '0' and [pxhic6] = '0' and [pxhic7] = '0',y,LV,,,,PX011502
pxhic9,px_sdoh_combined_survey,,text,What type of health insurance do you have?,,,,,,,[pxhic8] = '0',,LV,,,,PX011502
pxahcinstr,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">The following questions ask you about your </span>access to healthcare services<span style=""font-weight: normal;"">. Please answer to the best of your ability by choosing the best answer from the options provided.</span></p> </div></div>",,,,,,,,,,,,,PX270101
pxahc1,px_sdoh_combined_survey,,radio,About how long has it been since you last saw a doctor or other health care professional about your health?,"0, Never | 1, Within the past year (anytime less than 12 months ago) | 2, Within the last 2 years (1 year but less than 2 years ago) | 3, Within the last 3 years (2 years but less than 3 years ago) | 4, Within the last 5 years (3 years but less than 5 years ago) | 5, Within the last 10 years (5 years but less than 10 years ago) | 6, 10 years ago or more | 777, Prefer not to say | 555, Don't know",,,,,,,y,LV,,,,PX270101
pxahc2,px_sdoh_combined_survey,,radio,"Was this a wellness visit, physical, or general purpose check-up?","1, Yes | 0, No | 555, Don't know | 777, Prefer not to say",,,,,,[pxahc1] <> '' and [pxahc1] <> '0' and [pxahc1] <> '777' and [pxahc1] <> '555',y,LV,,,,PX270101
pxahc3,px_sdoh_combined_survey,,radio,"About how long has it been since you last saw a doctor or other health professional for a wellness visit, physical, or general purpose check-up?","0, Never | 1, Within the past year (anytime less than 12 months ago) | 2, Within the last 2 years (1 year but less than 2 years ago) | 3, Within the last 3 years (2 years but less than 3 years ago) | 4, Within the last 5 years (3 years but less than 5 years ago) | 5, Within the last 10 years (5 years but less than 10 years ago) | 6, 10 years ago or more | 777, Prefer not to say | 555, Don't know",,,,,,"[pxahc2] = '0' or 
[pxahc2] = '555' or 
[pxahc2] = '777'",y,LV,,,,PX270101
pxahc4,px_sdoh_combined_survey,,radio,"<div class=""rich-text-field-label""><p>Is there a place that you USUALLY go to if you are sick and need health care?ÿ</p></div>","1, Yes | 0, There is NO place | 2, There is MORE THAN ONE place | 777, Prefer not to say | 555, Don't know",,,,,,[pxahc1] = '0' or [pxahc1] = '777' or [pxahc1] = '555' or [pxahc2] = '1',y,LV,,,,PX270101
pxahc5,px_sdoh_combined_survey,,radio,"<div class=""rich-text-field-label""><p>What kind of place is it/do you go to most often? <br /><br /><span style=""font-weight: normal; color: #577e92;"">A doctor's office or health center is a place where you see the same doctor or the same group of doctors every visit, where you usually need to make an appointment ahead of time, and where your medical records are on file.</span><br /><br /><span style=""font-weight: normal; color: #577e92;"">Urgent care centers and clinics in a drug store or grocery store are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit.</span></p></div>","1, A doctor's office or health center | 2, Walk-in clinic, urgent care center, or retail clinic in a pharmacy or grocery store | 3, Emergency room | 4, A VA Medical Center or VA outpatient clinic | 5, Some other place | 6, Does not go to one place most often | 777, Prefer not to say | 555, Don't know",,,,,,[pxahc4] <> '0',y,LV,,,,PX270101
pxahc6,px_sdoh_combined_survey,,dropdown,"<div class=""rich-text-field-label""><p>During the <span style=""text-decoration: underline;"">past 12 months</span>, how many times have you gone to an urgent care center or a clinic in a drug store or grocery store about your health?<br /><br /><span style=""color: #577e92;""><span style=""font-weight: normal;"">Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. </span><span style=""font-weight: normal;"">This is different from a hospital emergency room.</span></span></p></div>","0, None | 1, 1 - 10 times | 2, 11 - 19 times | 3, 20 - 29 times | 4, 30 - 39 times | 5, 40 - 49 times | 6, 50 or more times | 777, Prefer not to say | 555, Don't know",,,,,,[pxahc4] = '0',y,LV,,,,PX270101
pxahc7,px_sdoh_combined_survey,,dropdown,"<div class=""rich-text-field-label""><p>During the <span style=""text-decoration: underline;"">past 12 months</span>, how many times have you gone to a hospital emergency room about your health?ÿ</p> <p><span style=""font-weight: normal;"">*This includes emergency room visits that resulted in a hospital admission.</span></p></div>","0, None | 1, 1 - 10 times | 2, 11 - 19 times | 3, 20 - 29 times | 4, 30 - 39 times | 5, 40 - 49 times | 6, 50 or more times | 777, Prefer not to say | 555, Don't know",,,,,,[pxahc6] <> '5' and  [pxahc6] <> '6',y,LV,,,,PX270101
pxahc8,px_sdoh_combined_survey,,radio,"<div class=""rich-text-field-label""><p>During the <span style=""text-decoration: underline;"">past 12 months</span>, have you been hospitalized overnight? <span style=""font-weight: normal;"">(Do not include an overnight stay in the emergency room)</span></p></div>","1, Yes | 0, No | 777, Prefer not to say | 555, Don't know",,,,,,[pxahc7] <> '5' and  [pxahc7] <> '6',y,LV,,,,PX270101
pxahc9,px_sdoh_combined_survey,,radio,"<div class=""rich-text-field-label""><p>During the <span style=""text-decoration: underline;"">past 12 months</span>, have you DELAYED getting medical care because of the cost?</p></div>","1, Yes | 0, No | 777, Prefer not to say | 555, Don't know",,,,,,,y,LV,,,,PX270101
pxahc10,px_sdoh_combined_survey,,radio,"<div class=""rich-text-field-label""><p>During the <span style=""text-decoration: underline;"">past 12 months</span>, was there any time when you needed medical care, but DID NOT GET IT because of the cost?</p></div>","1, Yes | 0, No | 777, Prefer not to say | 555, Don't know",,,,,,,y,LV,,,,PX270101
pxdhcinstr,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important;"" role=""alert""> <p class=""mt-3""><span style=""font-weight: normal;"">The following questions ask about your </span>treatment in medical settings<span style=""font-weight: normal;"">. Think of your prior experiences while getting health care when answering these questions.</span></p> </div></div>",,,,,,,,,,,,,PX280901
pxdhc1,px_sdoh_combined_survey,,radio,You are treated with less courtesy than other people.,"1, Never | 2, Rarely | 3, Sometimes | 4, Most of the time | 5, Always | 777, Prefer not to say",,,,,,,y,LV,,,,PX280901
pxdhc2,px_sdoh_combined_survey,,radio,You are treated with less respect than other people.,"1, Never | 2, Rarely | 3, Sometimes | 4, Most of the time | 5, Always | 777, Prefer not to say",,,,,,,y,LV,,,,PX280901
pxdhc3,px_sdoh_combined_survey,,radio,You receive poorer service than others.,"1, Never | 2, Rarely | 3, Sometimes | 4, Most of the time | 5, Always | 777, Prefer not to say",,,,,,,y,LV,,,,PX280901
pxdhc4,px_sdoh_combined_survey,,radio,A doctor or nurse acts as if he or she thinks you are not smart.,"1, Never | 2, Rarely | 3, Sometimes | 4, Most of the time | 5, Always | 777, Prefer not to say",,,,,,,y,LV,,,,PX280901
pxdhc5,px_sdoh_combined_survey,,radio,A doctor or nurse acts as if he or she is afraid of you.,"1, Never | 2, Rarely | 3, Sometimes | 4, Most of the time | 5, Always | 777, Prefer not to say",,,,,,,y,LV,,,,PX280901
pxdhc6,px_sdoh_combined_survey,,radio,A doctor or nurse acts as if he or she is better than you.,"1, Never | 2, Rarely | 3, Sometimes | 4, Most of the time | 5, Always | 777, Prefer not to say",,,,,,,y,LV,,,,PX280901
pxdhc7,px_sdoh_combined_survey,,radio,You feel like a doctor or nurse is not listening to what you were saying,"1, Never | 2, Rarely | 3, Sometimes | 4, Most of the time | 5, Always | 777, Prefer not to say",,,,,,,y,LV,,,,PX280901
survey_timestamp_hdr_8,px_sdoh_combined_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-secondary mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><i class=""fas fa-clock"">ÿ</i> <strong>REDCap Survey Timestamps</strong></h6> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
